A Balanced Diet	バランスの取れた食事
A Complete Catalogue	猫大全集
A Furious Cocktail	猛烈なカクテル
A Seedy Place	種だらけの場所
A Terrible Fortress	恐ろしい要塞
A Throwaway Joke	もったいぶった一言
Acquire Hardware	金属を手に入れる
Adventure	冒険
Adventuring Time	冒険の時間
Arbalistic	クロスボウの達人
Beaconator	ビーコネーター
Bee Our Guest	秘蜜の晩餐会
Best Friends Forever	永遠の親友となるだろう
Birthday Song	バースデー・ソング
Blowback	逆風
Bring Home the Beacon	生活のビーコン
Bukkit Bukkit	おけおけ
Bullseye	的中
Careful Restoration	丁寧な修復作業
Caves & Cliffs	洞窟と崖
Country Lode, Take Me Home	この道をずっとゆけば
Country Lode, Take Me Home	この道をずっとゆけば
Cover Me in Debris	残骸で私を覆って
Cover Me with Diamonds	ダイヤモンドで私を覆って
Crafters Crafting Crafters	自動作業台製自動作業台
Crafting a New Look	おニューの衣装
Diamonds!	ダイヤモンド！
Enchanter	エンチャントの使い手
Eye Spy	アイ・スパイ
Feels Like Home	実家のような安心感
Fishy Business	生臭い仕事
Free the End	エンドの解放
Getting an Upgrade	アップグレード
Glow and Behold!	この輝きに驚くことなかれ！
Good as New	まるで新品
Great View From Up Here	ここからの素晴らしい眺め
Heart Transplanter	心臓移植者
Hero of the Village	村の英雄
Hidden in the Depths	深淵に隠されしもの
Hired Help	お手伝いさん
Hot Stuff	ホットスタッフ
Hot Tourist Destinations	ホットな観光地
How Did We Get Here?	どうやってここまで？
Husbandry	農業
Ice Bucket Challenge	アイス・バケツ・チャレンジ
Into Fire	炎の中へ
Is It a Balloon?	あれは風船？
Is It a Bird?	あれは鳥？
Is It a Plane?	あれは飛行機？
Isn't It Iron Pick	鉄のツルハシで決まり
Isn't It Scute?	可鱗でしょう？
It Spreads	「それ」は侵食する
Light as a Rabbit	ウサギのように軽く
Lighten Up	明るくなーれ
Little Sniffs	可愛らしい鼻の音
Local Brewery	町のお薬屋さん
Minecraft	Minecraft
Minecraft: Trial(s) Edition	Minecraft: トライアル版
Mob Kabob	Mobケバブ
Monster Hunter	モンスターハンター
Monsters Hunted	モンスター狩りの達人
Nether	ネザー
Not Quite "Nine" Lives	人に九生なし
Not Today, Thank You	今日はやめておきます
Oh Shiny	わーいぴかぴか！
Ol' Betsy	おてんば
Over-Overkill	超・やり過ぎ
Planting the Past	遥か古の植物
Postmortal	死を超えて
Remote Getaway	遠方への逃走
Respecting the Remnants	文明の面影に敬意を
Return to Sender	差出人に返送
Revaulting	怪錠
Serious Dedication	真面目な献身
Shear Brilliance	キレがいいね
Sky's the Limit	空はどこまでも高く
Smells Interesting	興味深い匂い
Smithing with Style	オシャレな鍛冶職人
Sneak 100	スニーク100
Sniper Duel	スナイパー対決
Sound of Music	サウンド・オブ・ミュージック
Spooky Scary Skeleton	不気味で怖いスケルトン
Star Trader	星の商人
Stay Hydrated!	水分補給を忘れずに！
Sticky Situation	べとべとな状況
Stone Age	石器時代
Subspace Bubble	亜空間バブル
Suit Up	装備せよ
Surge Protector	危機一髪
Sweet Dreams	良い夢見てね
Tactical Fishing	戦術的漁業
Take Aim	狙いを定めて
The City at the End of the Game	ゲームの果ての都市
The Cutest Predator	いちばんカワイイ捕食者
The End	ジ・エンド
The End... Again...	おしまい…再び…
The End?	おしまい？
The Healing Power of Friendship!	友情の癒しパワー！
The Next Generation	ザ・ネクストジェネレーション
The Parrots and the Bats	コウノトリの贈り物
The Power of Books	本は力なり
The Whole Pack	ワンチーム
This Boat Has Legs	足のついたボート
Those Were the Days	兵どもが夢の跡
Total Beelocation	綿蜜な引越し
Two Birds, One Arrow	一石二鳥
Two by Two	2匹ずつ
Under Lock and Key	錠と鍵に隠されしもの
Uneasy Alliance	不安な同盟
Very Very Frightening	とてもとても恐ろしい
Voluntary Exile	自主的な亡命
War Pigs	ブタ戦争
Wax Off	錆止め落とし
Wax On	錆止め
We Need to Go Deeper	さらなる深みへ
What a Deal!	良い取引だ！
Whatever Floats Your Goat!	あなたのヤギたい様に！
When the Squad Hops into Town	みんなで町に跳び込もう
Who Needs Rockets?	ロケットいらず
Who is Cutting Onions?	玉ねぎを切っているのは誰？
Who's the Pillager Now?	どっちが略奪者？
With Our Powers Combined!	僕たちの力を合わせて！
Withering Heights	荒が丘
You Need a Mint	口臭に気をつけよう
You've Got a Friend in Me	君はともだち
Zombie Doctor	ゾンビドクター
